rule_id,rule_set,description,smarts,rule_set_name,priority,max
1163,7,OXO THIO HALIDE,"[O,S]~[Cl,Br,I]",Essential,1,0
346,4,AZO A(324),[#7;!R]=[#7],PAINS,6,0
103,2,HYDRAZINE1,N[NH2],Essential,4,0
69,2,AZO GROUP,N#N,Essential,4,0
867,5,DIAZONIUM SALT,[N+]#N,Essential,5,0
1262,8,N-N SP3-SP3 WITH A NEGATIVE CHARGE,[NX3]-[N-1;X2],Essential,2,0
106,4,IMINE1,C=[N!R],PAINS,4,0
963,5,ENAMINE LIKE,C=[NH],Supplemental,5,0
95,2,ENAMINE,[CX2R0][NX3R0],Supplemental,4,0
24,1,ISONITRILE,[N+]#[C-],Essential,8,0
1226,8,N-HALOAMINES,"N-[F,Cl,Br,I]",Essential,2,0
1149,7,NHALIDE,"N[F,Cl,Br,I]",Essential,1,0
935,5,S=N (NOT RING),[S;R0]=[N;R0],Essential,5,0
150,2,SULPHUR-NITROGEN SINGLE BOND,[SX2H0][N],Supplemental,4,0
294,3,PHOSPHOROUS NITROGEN BOND,"[#15]~[N,n]",Supplemental,7,0
122,4,N-HYDROXYL PYRIDINE,n[OH],PAINS,4,0
239,3,GTE 3 IODINE,[#53].[#53].[#53],Essential,7,0
830,5,ADJACENT RING DOUBLE BONDS,[*;R]=[*;R]=[*;R],Essential,5,0
835,5,ALLENE,*=C=*,Essential,5,0
967,5,TRIPLE BOND,[#6]C#[CH],Supplemental,5,0
911,5,PCP,PCP,Supplemental,5,0
562,4,THIO ALDEHYD A(3),[#6]-[#6](=[#16])-[#1],PAINS,6,0
1241,8,ARYL IODIDE,I-c:*,Supplemental,2,0
1242,8,ARYL BROMIDE,Br-c:*,Supplemental,2,0
955,5,VINYL HALIDE,"[Cl,Br,I]C=[!O!R]",Essential,5,0
303,3,POLYSULFIDE,[S;D2]-[S;D2]-[S;D2],Essential,7,0
111,2,KETENE,C=C=O,Essential,4,0
1141,7,ALDEHYDE,O=[CH]*,Supplemental,1,0
831,5,ALDEHYDE,[#6][C!H0]=O,Essential,5,0
2,1,ACID HALIDES,"[S,C](=[O,S])[F,Br,Cl,I]",Essential,8,0
1105,7,ACYL PHOSPHYL SULFONYL HALIDE,"[C,S,P](=O)[F,Cl,Br,I]",Essential,1,0
220,3,CARBONYL HALIDE,"O=C[F,Cl,Br,I]",Essential,7,0
154,2,THIOESTER1,SC=O,Essential,4,0
932,5,REACTIVE CARBONYLS1,"[C;!R](=[O,S])[S;!R]",Essential,5,0
1111,7,THIO ISOCYANAT DIIMIN,"N=C=[N,O,P,S]",Essential,1,0
107,4,IMINE2,"N=[CR0][N,n,O,S]",PAINS,4,0
885,5,GEMINAL AMINES,[NH1;!r][CX4][NH1;!r],Essential,5,0
839,5,AMINONITRILE,NC#N,Essential,5,0
83,2,CYANATE/AMINONITRILE/THIOCYANATE,"[N,O,S]C#N",Essential,4,0
1110,4,DIAZO,[!#7]~[NX2]~[NX1],PAINS,1,0
866,4,DIAZOALKANE,C=[N+]=[N-],PAINS,5,0
225,3,DIAMINO SULFIDE,"[N,n]~[S;!R;D2]~[N,n]",Essential,7,0
266,3,NITROSAMINE,N-[N;X2](=O),Essential,7,0
1114,7,NITROSAMIN,[NR0]~[NX2]~[OX1],Essential,1,0
890,4,IMINE2,"[#6,#8,#16]-[CH1]=[NH1]",PAINS,5,0
1260,8,VINY AMINE,[CX3]=[CX3]N,Essential,2,0
1113,7,TERMINAL VINYL,"[CH2]=[CH][N,O,P,S;R0]",Essential,1,0
42,1,BENZYLIC QUATERNARY NITROGEN,cC[N+],Essential,8,0
140,2,QUATERNARY NITROGEN3,[*]=[N+]=[*],Essential,4,0
120,2,N-C-HALO,"NC[F,Cl,Br,I]",Essential,4,0
41,1,THIOCYANATE,SC#N,Essential,8,0
1223,8,THIO CYANATES,S-C#N,Essential,2,0
123,2,NITRO GROUP,[N+](=O)[O-],Supplemental,4,0
1168,7,S OR O C TRIPLEBOND N,"[O,S]C#N",Essential,1,0
125,2,OXIME1,"[C,c]=N[OH]",Supplemental,4,0
265,3,NITRONE,[C;!R]=[N+][O;D1],Essential,7,0
207,4,AZO FILTER3,[N;!R]-[N;!R]-[N;!R],PAINS,7,0
1240,8,EPOXIDES,O~1C~*1,Essential,2,0
37,1,EPOXIDES. THIOEPOXIDES. AZIRIDINES,"C1[O,S,N]C1",Essential,8,0
947,5,THREE MEMBERED HETEROCYCLE,"*1[O,S]*1",Essential,5,0
157,2,THREE-MEMBERED HETEROCYCLE,"*1[O,S,N]*1",Essential,4,0
174,3,CH2 S#O 3 RING,"[CH2]1[O,S]C1",Essential,7,0
1239,8,AZIRIDINE-LIKE N IN 3-MEMBERED RING,N~1~*~*1,Essential,2,0
202,3,AZIRIDINE DIAZIRINE,"[C,N]1~[C,N]~N~1",Essential,7,0
1143,7,EPOXIDE AZIRIDINE,"C1C[N,S,O]1",Essential,1,0
1181,7,THIOEPOXIDE AZIRIDONE,"[N,S]1[C,N,S][C,N,S]1",Essential,1,0
274,3,OXAZIRIDINE,"C1~[O,S]~N1",Essential,7,0
1251,8,HIGH HALOGEN CONTENT (>3),"[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I]",Supplemental,2,0
981,5,CYCLOBUTENE,C1CC=C1,Essential,5,0
1258,8,UNSATURATED ALIPHATIC 4 MEMBERED RING,A1=AAA1,Essential,2,0
1264,8,CYCLOBUTYL DIENE,C1=CC=C1,Essential,2,0
179,3,ACTIVATED S#O 3 RING,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]",Essential,7,0
986,5,AROMATIC N-OXIDE MORE THAN ONE,[n+][O-X1].[n+][O-X1],Essential,5,0
137,2,POLYENE,[CR0]=[CR0][CR0]=[CR0],Essential,4,0
865,5,DIACETYLENE,C#CC#C,Essential,5,0
13,1,LAWESSON'S REAGENT AND DERIVATIVES,P(=S)(S)S,Essential,8,0
856,5,CONJUGATED DITHIOETHER,SC(=[!r])S,Essential,5,0
377,4,THIO KETONE(43),[#6]-[#6](=[#16])-[#6],PAINS,6,0
1125,7,SULFONIUM SALT,*[SX3](*)*,Essential,1,0
1119,7,TRIALKYL PHOSPHIN,[PX3]([#6])([#6])[#6],Essential,1,0
1106,7,ALLYL HALIDE,"[F,Cl,Br,I][CX4]C=C",Essential,1,0
1148,7,ALLYL HALIDE2,"[Br,Cl,I][CX4]C=[C,N,P]",Essential,1,0
322,3,THIO XANTHATE,[S;!R]-[C;!R](=[S;!R])(-[S;!R]),Essential,7,0
972,5,FORMATE FORMIDE,"O=[CH][O,N][#6]",Essential,5,0
93,2,DIKETO GROUP,"[C,c](=O)[C,c](=O)",Supplemental,4,0
1218,8,SUFONYL HALIDE,"S(=O)(=O)-[F,Cl,Br,I]",Essential,2,0
1204,8,ALKYL ESTERS OF S OR P,"[S,P](=O)OC",Supplemental,2,0
323,4,THIOCARBONATE,"SC(=O)[O,S]",PAINS,7,0
1146,7,MICHAEL ACCEPTOR SP1,C#CC=O,Essential,1,0
327,3,THIOSULFOXIDE,"[C,c][S;X3](~O)-S",Essential,7,0
1217,8,ALPHA HALO CARBONYL,"O=C-C-[F,Cl,Br,I]",Essential,2,0
43,4,THIOESTERS,"C[O,S;R0][C;R0](=S)",PAINS,8,0
1177,7,S ESTER,CC(=S)O,Essential,1,0
933,5,REACTIVE CARBONYLS2,"[C;!R](=[O,S])[CD2;!R][F,Br,Cl]",Essential,5,0
1107,7,ALPHA HALO CARBONYL,"[Br,Cl,I][C!H0]C=[O,S]",Essential,1,0
906,5,ORTHOESTER,C(O)(O)[OH],Essential,5,0
1170,4,THIO CARBONATE,"[O,S]C(=[O,S])[O,S]",PAINS,1,0
1245,8,S/PO3 GROUPS,"[P,S](~O)(~O)~O",Essential,2,0
1067,6,HYDRAZINE3,[#6]-[NH]-[NH]-[#6],Essential,3,0
44,4,CYANAMIDES,N[CH2]C#N,PAINS,8,0
1220,8,26,N-C(=S)-N,Supplemental,2,0
61,4,ACYL HYDRAZINE,C(=O)N[NH2],PAINS,4,0
843,5,AZANITRONE,N=[N+]([O-])C,Essential,5,0
79,2,CONJUGATED NITRILE GROUP,C=[C!r]C#N,Supplemental,4,0
1031,4,IMINE 1,"[#6,#8,#16]-C(=[NH1])[#6,#8,#16]",PAINS,3,0
873,4,DITHIOCARBAMATE,NC(=S)S,PAINS,5,0
1036,4,THIOAMIDE,CC(=S)N,PAINS,3,0
20,1,CHLORAMIDINES,[Cl]C([C&R0])=N,Essential,8,0
1185,7,NITROGEN MUSTARD,"[N,P,Se,S][C!H0]C[Br,Cl,I]",Essential,1,0
313,3,SULF D3 NITROGEN,"[S;D3](-N)(-[c,C])(-[c,C])",Essential,7,0
1209,8,MUSTARDS,"[N,S,O][CH2][CH2]-[F,Cl,Br,I]",Essential,2,0
256,3,HYDROXAMATE WARHEAD,C([N;H1]([O;D1]))=O,Supplemental,7,0
105,2,HYDROXAMIC ACID,C(=O)N[OH],Essential,4,0
1047,6,DYE 16 (1),c([N+](=O)[O-]),Supplemental,3,0
1075,6,NITROALKANE,C[N+](=O)[O-],Essential,3,0
176,3,NO PHOSPHONATE,P(=O)ON,Essential,7,0
27,1,ACYL CYANIDES,N#CC(=O),Essential,8,0
26,1,CYANOHYDRINS,N#CC[OH],Essential,8,0
863,5,CYANOHYDRIN,N#CC[OH1],Essential,5,0
1124,7,CYANHYDRIN,[NX1]#C[CX4][OH],Essential,1,0
1154,7,PN3,N[PX3](N)N,Essential,1,0
928,5,POLYSULFIDE,*[SX2][SX2][SX2]*,Essential,5,0
149,2,SULPHATE,OS(=O)(=O)[O-],Essential,4,0
484,4,KETO KETO BETA D(5),[#8]=[#6]-[#6]=[#6](-[#1])-[#8]-[#1],PAINS,6,0
1230,8,ALIPHATIC ESTER. NOT LACTONES,C[C!R](=O)[O!R][CH2D2],Supplemental,2,0
1030,6,ESTER,[#6]-C(=O)O-[#6],Supplemental,3,0
1027,6,HEMIACETAL,[#6]-O[CH1](-[#6])[OH1],Essential,3,0
1118,7,THIOSULFATE,[SX4](~S)(~O)(~O)~*,Essential,1,0
1150,7,SO2F,O=S(=O)(*)F,Essential,1,0
1151,7,FOSO,O=S(*)OF,Essential,1,0
264,3,MONOFLUOROACETATE,"[C;H2](F)C(=O)[O,N,S]",Essential,7,0
1070,6,VINYL MICHAEL ACCEPTOR2,"[CH2]=C-C(=O)[#6,#7,#8]",Essential,3,0
1074,6,ALKYNYL MICHAEL ACCEPTOR2,"[CH1]#CC(=O)-[#6,#7,#8]",Essential,3,0
1061,6,BETA HALO CARBONYL,"O=CCC[Cl,Br,I]",Essential,3,0
1165,7,HALO KETONE SULFONE,"[#6][C,S](=[O,S])C[F,Cl,Br,I]",Essential,1,0
6,1,ACID ANHYDRIDES,C(=O)OC(=O),Essential,8,0
1173,7,HYDRATED DI KETONE,C(=O)C([OH])[OH],Essential,1,0
957,5,SULPHATES,[#6]S(=O)(=O)O,Supplemental,5,0
936,5,SULFONATE ESTER,O=[SX4](=O)OC,Essential,5,0
1082,6,PHOSPHORIC ACID,[OH]-P(=O)(-O)-*,Supplemental,3,0
886,5,GEMINAL DINITRILES,N#CCC#N,Essential,5,0
1171,7,ALKYLCN2,*(C#N)C#N,Essential,1,0
1249,4,AMINO ACID,[NH2][CX4]C(=O)O,PAINS,2,0
126,2,OXIME2,"[C,c]=NOC=O",Essential,4,0
28,1,SULFONYL CYANIDES,S(=O)(=O)C#N,Essential,8,0
1255,8,VINYL AMINE,C=CNC(=O),Essential,2,0
1080,6,QUATERNARY NITROXY,C[N+](-[O-])(C)C,Essential,3,0
431,4,ACYL HET A(9),[#7+](:[!#1]:[!#1]:[!#1])-[!#1]=[#8],PAINS,6,0
1077,6,NITRATE,[#6]-O-[N+](=O)[O-],Essential,3,0
14,1,PHOSPHORAMIDES,NP(=O)(N)N,Essential,8,0
45,1,FOUR MEMBERED LACTONES,C1(=O)OCC1,Essential,8,0
212,3,BETA LACTONE,"[#6,#15,#16]1(=O)~[#6]~[#6]~[#8,#16]1",Essential,7,0
1252,4,FURAN,o1cccc1,PAINS,2,0
47,1,BETALACTAMS,N1CCC1=O,Essential,8,0
213,3,BETALACTAM,C1(=O)~[#6]~[#6]N1,Essential,7,0
1248,8,TOO MANY COOH GROUPS (>1),[CX3](=O)[OH1].[CX3](=O)[OH1],Supplemental,2,0
236,3,GTE 2 FREE PHOS,P([O;D1])=O.P([O;D1])=O,Essential,7,0
987,5,NITRO MORE THAN ONE,[N+](=O)[O-].[N+](=O)[O-],Supplemental,5,0
1263,8,1-3-CYCLOHEXADIENE,C1=CCCC=C1,Essential,2,0
875,5,DITHIOLE-3-THIONE,S1C=CSC1=C,Essential,5,0
1117,7,THIO OXOPYRYLIUM SALT,"c1ccc[s,o;X2]c1",Essential,1,0
326,3,THIOPYRYLIUM,"c1[S,s;+]cccc1",Essential,7,0
874,5,DITHIOLE-2-THIONE,S1SC=CC1=S,Essential,5,0
112,2,METHYLIDENE-1.3-DITHIOLE,S1C=CSC1=S,Essential,4,0
931,5,PYRYLIUM,c1ccc[o+]c1,Essential,5,0
389,4,THIOPHENE HYDROXY(28),s1ccc(c1)-[#8;H1],PAINS,6,0
941,5,TETRAAZINANE,C1NNC=NN1,Essential,5,0
975,4,AMINOTHIAZOLE,s1ccnc1[NH2],PAINS,5,0
976,4,THIAZOLIDINONE,O=C1CSCN1,PAINS,5,0
550,4,HET THIO N 5A(3),[#7]=[#6]-1-[#7]=[#6]-[#7]-[#16]-1,PAINS,6,0
925,5,POLYINES,CC#CC#CC,Essential,5,0
883,5,FLUORINATED CARBON 2,C(C(F)F)(F)F,Supplemental,5,0
128,2,PERFLUORINATED CHAIN,[CX4](F)(F)[CX4](F)F,Supplemental,4,0
882,5,FLUORINATED CARBON 1,C(C(CF)F)F,Supplemental,5,0
1144,7,12 DICARBONYL,*C(=O)C(=O)*,Supplemental,1,0
1057,6,DYE 2,OCccCO,Supplemental,3,0
116,2,MICHAEL ACCEPTOR4,C=C(C=O)C=O,Essential,4,0
1028,6,ACETAL,[#6]-O[CH1](-[#6])O-[#6],Supplemental,3,0
1189,7,ENE SULFONE,[C!H0]=CS(=O)(=O)*,Essential,1,0
768,4,ENE ONE YNE A(1),[#6]#[#6]-[#6](=[#8])-[#6]#[#6],PAINS,6,0
1069,6,VINYL MICHAEL ACCEPTOR1,"[#6]-[CH1]=C-C(=O)[#6,#7,#8]",Essential,3,0
1073,6,ALKYNYL MICHAEL ACCEPTOR1,"[#6]-C#CC(=O)[#6,#7,#8]",Essential,3,0
1133,7,BETA HALO CARBONYL,"[#6,#1]C(=O)CC[Br,I]",Essential,1,0
1060,6,PERHALO KETONE,"O=CC(-[F,Cl,Br,I])([F,Cl,Br,I])-[F,Cl,Br,I]",Supplemental,3,0
38,1,2.4.5 TRIHYDROXYPHENYL,c([OH])c([OH])c([OH]),Essential,8,0
1166,7,ALKYL SULFONATE,"[#6][P,S](~[OX1])(~[OX1])O[C!H0]",Essential,1,0
314,3,SULFITE SULFATE ESTER,"[C,c]OS(=O)O[C,c]",Essential,7,0
1097,6,AROMATIC SULFONIC ESTER,"[#6,#7]-S(=O)(=O)Oc",Essential,3,0
145,2,SULFONIC ACID1,"[C,c]S(=O)(=O)O[C,c]",Essential,4,0
5,1,SULPHONATES,"COS(=O)(=O)[C,c]",Essential,8,0
1083,6,PHOSPHORIC ESTER,COP(=O)(-*)O,Essential,3,0
918,5,PHOSPHONATE ESTERS,[#6]P(=O)(~O)O[#6],Essential,5,0
1071,6,MICHAEL ACCEPTOR 5,N#CC(=C)C#N,Essential,3,0
692,4,THIO AMIDE F(1),[!#1]:[#6]-[#6](=[#16])-[#7](-[#1])-[#7](-[#1])-[#6]:[!#1],PAINS,6,0
335,3,TRIHALOVINYL HETEROATOM,"C(-[Cl,Br,I])(-[Cl,Br,I])=C(-[Cl,Br,I])(-[N,O,S])",Essential,7,0
1195,8,AROMATIC NO2,O~N(=O)-c(:*):*,Supplemental,2,0
10,1,ESTERS OF HOBT,C(=O)Onnn,Essential,8,0
1052,6,DYE 11,"*=,:[#6]C([#6]=,:*)[#6]=,:*",Essential,3,0
332,3,TRIFLUOROACETATE ESTER,C(F)(F)(F)C(=O)O,Essential,7,0
406,4,ENE ONE HAL(17),"[#6]-[#6]=[#6](-[F,Cl,Br,I])-[#6](=[#8])-[#6]",PAINS,6,0
46,1,DI AND TRIPHOSPHATES,P(=O)([OH])OP(=O)[OH],Supplemental,8,0
39,1,2.3.4 TRIHYDROXYPHENYL,c([OH])c([OH])cc([OH]),Essential,8,0
1130,7,ANHYDRIDE,"*[C,S](=O)O[C,S](=O)*",Essential,1,0
840,5,ANHYDRIDE,[#6]C(=O)OC(=O)[#6],Essential,5,0
34,1,CROWN ETHERS,[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1],Supplemental,8,0
1172,7,THIO ANHYDRIDE,"*C(=[O,S])[O,S]C(=[O,S])*",Essential,1,0
1121,7,OXIME ESTER,"[!#7,#1]C=NO[C,S,P](=O)*",Essential,1,0
184,3,ACYCLIC IMIDE,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]",Supplemental,7,0
325,3,THIOL WARHEAD,NC(C[S;D1])C(O)=O,Essential,7,0
801,4,ENE CYANO E(1),[#8]=[#6]-[#6](-[#1])=[#6](-[#6]#[#7])-[#6],PAINS,6,0
583,4,CYANO KETO A(2),[#6](-[#1])(-[#1])-[#6](-[#1])(-[#6]#[#7])-[#6](=[#8])-[#6],PAINS,6,0
600,4,THIO IMINE IUM(2),[#6;X4]-[#7+](-[#6;X4]-[#8]-[#1])=[#6]-[#16]-[#6]-[#1],PAINS,6,0
966,5,TRIFLUROACETATE AMIDE,FC(F)(F)C(=O)N,Supplemental,5,0
854,5,CCL3-CHO RELEASING,"C(Cl)(Cl)(Cl)C([O,S])[NX3]",Essential,5,0
86,2,CYCLOHEPTANE2,[CD2]1[CD2][CD2]cc[CD2][CD2]1,Supplemental,4,0
85,2,CYCLOHEPTANE1,[CD2]1[CD2][CD2][CD2][CD2][CD2][CD2]1,Supplemental,4,0
396,4,THIO DIBENZO(23),"S=[#6]1[#6]=,:[#6][!#6,!#6][#6]=,:[#6]1",PAINS,6,0
973,5,PYRANONE,O=C1C=COC=C1,Supplemental,5,0
978,5,OXEPINE,O1C=CC=CC=C1,Essential,5,0
469,4,THIO UREA F(6),[#6]-1-[#7](-[#1])-[#7](-[#1])-[#6](=[#16])-[#7]-[#7]-1-[#1],PAINS,6,0
65,4,AMIDOTETRAZOLE,c1nnnn1C=O,PAINS,4,0
889,5,IMIDAZOLIUM,c1[n+]([#6])ccn1([#6]),Essential,5,0
463,4,ENE FIVE HET H(6),[#7]-1=[#6]-[#6](-[#6](-[#7]-1)=[#16])=[#6],PAINS,6,0
423,4,KETO KETO BETA B(12),[#6;X4]-1-[#6](=[#8])-[#7]-[#7]-[#6]-1=[#8],PAINS,6,0
1254,4,HYDANTOIN,C1C(=O)NC(=O)N1,PAINS,2,0
102,4,HYDANTOIN,C1NC(=O)NC(=O)1,PAINS,4,0
430,4,ENE FIVE HET G(10),"[#6]-1(=[#6])-[#6](-[#7,#16,#8][#6](-[!#1])=[#7]-1)=[#8]",PAINS,6,0
353,4,ENE FIVE HETA1(201A),"[#6]-1(=[#6])-[#6]=[#7]-[#7,#8,#16]-[#6]-1=[#8]",PAINS,6,0
67,2,AZEPANE,[CH2D2]1N[CH2D2][CH2D2][CH2D2][CH2D2][CH2D2]1,Supplemental,4,0
1183,7,PYRIDINIUM,"[c,n]1[c,n][c,n][c,n][c,n][n+](C)1",Essential,1,0
522,4,THIAZOL SC A(3),[#6]-[#16;X2]-c:1:n:c(:c:s:1)-[#1],PAINS,6,0
578,4,THIO CARBAM ENE(2),[#6]-1=[#6]-[#7]-[#6](-[#16]-[#6;X4]-1)=[#16],PAINS,6,0
1063,6,2-HALOPYRIDINE,"[F,Cl,Br][c]1:[c,n]:[c,n]:[c,n]:[c,n]:[n]1",Essential,3,0
1062,6,4-HALOPYRIDINE,"[F,Cl,Br][c]1:[c,n]:[c,n]:[n]:[c,n]:[c,n]1",Essential,3,0
1198,8,2-CHLOROPYRIDINE,n1c(cccc1)Cl,Essential,2,0
1180,7,MALEIMIDE,[CH]1C(=O)NC(=O)[CH]=1,Essential,1,0
386,4,RHOD SAT A(33),[#7]-1-[#6](=[#16])-[#16]-[#6;X4]-[#6]-1=[#8],PAINS,6,0
361,4,ENE FIVE HET B(90),[#6]-1(=[#6])-[#6](-[#7]=[#6]-[#16]-1)=[#8],PAINS,6,0
676,4,HET THIO 5 IMINE A(1),[#7]=[#6]-1-[#16]-[#6](=[#7])-[#7]=[#6]-1,PAINS,6,0
185,4,ACYL 123 TRIAZOLE,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,PAINS,7,0
88,2,CYCLOOCTANE2,[CD2]1[CD2][CD2]cc[CD2][CD2][CD2]1,Supplemental,4,0
87,2,CYCLOOCTANE1,[CD2]1[CD2][CD2][CD2][CD2][CD2][CD2][CD2]1,Supplemental,4,0
1126,4,ORTHO QUINONE,C1(C=CC=CC1=O)=O,PAINS,1,0
360,4,CATECHOL A(92),c:1:c:c(:c(:c:c:1)-[#8;H1])-[#8;H1],PAINS,6,0
1156,7,PARA QUINONES,O=C1C=CC(=O)C=C1,Essential,1,0
48,4,QUINONES,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,PAINS,8,0
1018,4,DIHYDROXYBENZENE,[OH1]c1ccc([OH1])cc1,PAINS,3,0
78,2,CHINONE2,"C1(=[O,N])C(=[O,N])C=CC=C1",Essential,4,0
77,2,CHINONE1,"C1(=[O,N])C=CC(=[O,N])C=C1",Essential,4,0
958,5,TROPONE,C1C(=O)C=CC=CC=1,Essential,5,0
908,5,OXOBENZOTHIEPINE,C1(=O)C=CCSC=C1,Supplemental,5,0
476,4,ENE MISC A(5),[#6]-1=[#6]-[#6](-[#8]-[#6]-1-[#8])(-[#8])-[#6],PAINS,6,0
270,4,ORTHO HYDROIMINOQUINONE,c1c([N;D1])c([N;D1])c[cH1][cH1]1,PAINS,7,0
373,4,ENE FIVE HET D(46),[#6]-1(=[#6])-[#6](=[#8])-[#7]-[#7]-[#6]-1=[#8],PAINS,6,0
1051,6,DYE 7,"N=C1[#6]:,=[#6]C(=[C,N])[#6]:,=[#6]1",Essential,3,0
70,2,AZOCANE,[CH2D2]1N[CH2D2][CH2D2][CH2D2][CH2D2][CH2D2][CH2D2]1,Supplemental,4,0
475,4,THIO ESTER A(5),[#6]-1=[#6](-[#16]-[#6](-[#6]=[#6]-1)=[#16])-[#7],PAINS,6,0
52,1,CYCLOHEXIMIDE DERIVATIVES,O=C1CCCC(N1)=O,Supplemental,8,0
473,4,HET 6 PYRIDONE OH(5),[#8](-[#1])-c:1:n:c(:c:c:c:1)-[#8]-[#1],PAINS,6,0
977,5,THIOMORPHOLINEDIONE,N1C(=O)CSCC1=O,Supplemental,5,0
620,4,ENE SIX HET C(2),[#8]=[#6]-1-[#6]:[#6]-[#6](-[#1])(-[#1])-[#7]-[#6]-1=[#6]-[#1],PAINS,6,0
351,4,ENE RHOD A(235),[#7]-1-[#6](=[#16])-[#16]-[#6](=[#6])-[#6]-1=[#8],PAINS,6,0
903,4,NONAME,"N1=C[S,NH1]C(=[C,N,P][C,N,O,P])C1(=O)",PAINS,5,0
374,4,THIOPHENE AMINO AA(45),[H]N([H])c1sc([!#1])c([!#1])c1C=O,PAINS,6,0
186,4,ACYL 134 TRIAZOLE,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1,PAINS,7,0
233,3,FOUR NITRILES,C#N.C#N.C#N.C#N,Essential,7,0
55,1,SQUALESTATIN DERIVATIVES,C12OCCC(O1)CC2,Essential,8,0
924,5,POLYENE CHAIN BETWEEN AROMATICS,cC=CC=CC=Cc,Essential,5,0
49,1,POLYENES,C=CC=CC=CC=C,Supplemental,8,0
12,1,TRIFLATES,OS(=O)(=O)C(F)(F)F,Essential,8,0
331,3,TRIFLATE,OS(=O)(=O)(C(F)(F)(F)),Essential,7,0
465,4,ENE CYANO C(6),[#6]=[#6](-[#6]#[#7])-[#6](=[#7]-[#1])-[#7]-[#7],PAINS,6,0
516,4,IMINE IMINE B(3),[#6]:[#6]-[#6](-[#1])=[#6](-[#1])-[#6](-[#1])=[#7]-[#7]=[#6],PAINS,6,0
403,4,DYES3A(19),"[#6]-,:[#6]:[#7+]=,:[#6][#6]=[#6][#7][#6;X4]",PAINS,6,0
554,4,ENE CYANO D(3),[#6](-[#6]#[#7])(-[#6]#[#7])=[#6](-[#16])-[#16],PAINS,6,0
231,3,DOUBLE TROUBLE WARHEAD,NC(C[S;D1])C([N;H1]([O;D1]))=O,Essential,7,0
749,4,THIO CARBAM A(1),[#6](-[#1])(-[#1])-[#16]-[#6](=[#16])-[#7](-[#1])-[#6](-[#1])(-[#1])-[#6]:[#6],PAINS,6,0
25,1,TRIACYLOXIMES,C(=O)N(C(=O))OC(=O),Essential,8,0
1212,8,CARBAMATE. T-BOC PROTECTED,NC(OC([CH3])([CH3])[CH3])=O,Supplemental,2,0
